label;query
анализ данных;сколько строк в категории 'test'
анализ данных;найди топ-10 самых дорогих товаров в таблице
анализ данных;сделай частотный анализ для текстовой колонки
анализ данных;какие типы данных у нас в датасете
анализ данных;чекни на нуллы
анализ данных;сгруппируй по отделу и дай среднюю зп
анализ данных;выведи инфо о датафрейме
анализ данных;heatmap корреляции давай
анализ данных;ну-ка покажи дисперсию по всем колонкам
анализ данных;построй график зависимости y от x
анализ данных;есть ли дубликаты строк?
анализ данных;посчитай уникальные города
анализ данных;Сначала удали все строки, где отсутствуют данные о версии приложения, затем посчитай среднее время сессии для каждой версии отдельно и построй столбчатую диаграмму, чтобы мы увидели, на какой версии пользователи проводят меньше всего времени
анализ данных;нарисуй ящик с усами для прайса
анализ данных;Найди выбросы в колонке «Доставка», замени их на максимальное значение в пределах нормы и перестрой гистограмму
анализ данных;визуализируй пропуски через heatmap
анализ данных;найди минимальный возраст в базе
анализ данных;сделай пай чарт для колонки Gender
анализ данных;какая размерность у таблицы
анализ данных;покажи важность признаков через feature_importance
анализ данных;сколько строк и столбцов в файле
анализ данных;покажи первые 20 записей
анализ данных;покажи боксплот для целевой переменной
анализ данных;вычисли стандартное отклонение для выборки
анализ данных;сделай корреляционную матрицу для всех числовых фичей
анализ данных;какая мода и медиана у этого признака
анализ данных;сгруппируй по полу и посчитай средний чек
анализ данных;выведи корреляцию с таргетом по убыванию
анализ данных;построй пай-чарт по долям рынка
анализ данных;найди моду для категориальных признаков
анализ данных;покажи инфо о пропусках в данных
анализ данных;построй line plot временного ряда продаж
анализ данных;выведи описание категориальных столбцов
анализ данных;посчитай долю каждого класса в выборке
анализ данных;построй scatter matrix для признаков
анализ данных;выведи последние 15 строк
анализ данных;найди максимальное значение в колонке score
анализ данных;покажи распределение логарифма цены
анализ данных;построй гистограмму распределения цен
анализ данных;Построй график распределения вероятностей
анализ данных;Сколько уникальных городов в списке?
анализ данных;проверь на корреляцию между features и target
анализ данных;Построй confusion matrix для данных
анализ данных;нарисуй barplot для feature importance
анализ данных;Покажи статистику по датасету
анализ данных;Сделай scatter plot между age и salary
анализ данных;Сколько уникальных значений в столбце gender?
анализ данных;Выведи top-10 категорий по количеству
анализ данных;построй boxplot по признаку age
анализ данных;Проверь дисбаланс классов
анализ данных;Найди пропуски в данных
анализ данных;Удали строки, где target = None или NaN
анализ данных;Покажи распределение значений по каждому классу
анализ данных;Построй гистограмму для столбца target
анализ данных;Выведи среднее значение для каждого класса
анализ данных;визуализируй выбросы в target
анализ данных;сравни метрики двух моделей
анализ данных;найди выбросы с помощью IQR
анализ данных;хочу увидеть корреляцию всех признаков
анализ данных;сколько пропусков в таблице?
анализ данных;выведи среднее значение по столбцу salary
анализ данных;покажи мне скаттерплот возраст и доход
анализ данных;покажи первые 30 строк
анализ данных;какой объем памяти занимает этот датафрейм
анализ данных;найди среднее квадратичное отклонение
анализ данных;сделай сводную таблицу из датасета
анализ данных;выведи таблицу сопряженности для двух колонок
анализ данных;Сделай таблицу распределения категорий
анализ данных;Построй линию тренда по времени
анализ данных;Сколько наблюдений в каждом классе?
анализ данных;выведи данные о датасете
анализ данных;Посчитай количество пропусков в каждом столбце
анализ данных;Покажи топ-5 признаков по влиянию
анализ данных;Сделай pairplot для трёх признаков
анализ данных;построй гистограмму для колонки доход с 20 корзинами
анализ данных;как распределен таргет класс
анализ данных;покажи мне самые коррелирующие фичи с таргетом
анализ данных;построй барчарт покупок
анализ данных;выведи основные статистики датасета
анализ данных;Выполни нормализацию признака income методом Min-Max
анализ данных;посчитай стандартную ошибку для прогноза
анализ данных;покажи типы колонок
анализ данных;Найди и удали коллинеарные признаки с коэффициентом выше 0.9
анализ данных;визуализируй выбросы через диаграмму размаха
анализ данных;посчитай процент пропущенных значений в датасете
анализ данных;выведи матрицу рассеяния для первых 4 признаков
анализ данных;построй график накопленной суммы прибыли
анализ данных;выведи типы данных всех столбцов таблицы
анализ данных;посчитай стандартную ошибку среднего
анализ данных;выведи первые 50 строк таблицы
анализ данных;нарисуй гистограмму частот
анализ данных;покажи корреляцию спирмена
анализ данных;какой максимум в столбце score?
анализ данных;вычисли эксцесс и асимметрию распределения
анализ данных;проверь, нет ли у нас полных дубликатов строк, и если есть - удали их
анализ данных;посчитай квартили
анализ данных;проверь датасет на наличие дубликатов строк
анализ данных;нарисуй график зависимости прибыли от затрат на рекламу
анализ данных;сколько уникальных категорий в столбце product_type
анализ данных;покажи график временного ряда продаж за год
анализ данных;выведи сводную таблицу по месяцам
анализ данных;визуализируй аутлайеры 
анализ данных;сделай точечный график зависимости веса от роста
анализ данных;построй heatmap матрицы корреляций
анализ данных;выведи средний возраст пользователей по городам
анализ данных;визуализируй корреляцию через тепловую карту
анализ данных;Сделай Pyramid Chart, отражающий иерархию потребностей или структуру затрат
анализ данных;найди 5 самых частых значений в столбце бренд
анализ данных;сгруппируй по дате и покажи сумму продаж
анализ данных;выведи квантили 0.25 и 0.75 для всех признаков
анализ данных;построй лепестковую диаграмму 
анализ данных;визуализация pca
анализ данных;выведи среднее по колонке цена для каждого города
анализ данных;найди корреляцию пирсона для x и y
анализ данных;сколько записей относится к категории электроника
анализ данных;какие уникальные значения в колонке город
анализ данных;посчитай количество дубликатов в таблице
анализ данных;построй диаграмму рассеяния
анализ данных;визуализируй важность признаков
анализ данных;найди самые частые слова в текстовом столбце
анализ данных;покажи распределение таргета после логарифмирования
анализ данных;визуализируй пропуски в данных
анализ данных;выведи среднее и моду по группам
анализ данных;сделай виолин плот для цен на квартиры
анализ данных;посчитай количество пропусков в каждой колонке по отдельности
анализ данных;нарисуй график плотности для колонки score
анализ данных;посчитай количество нуллов в датасете
анализ данных;Проверь, нет ли в именах лишних пробелов или спецсимволов 
анализ данных;сделай скаттерплот между весом и ростом
анализ данных;построй гистограмму распределения для всех фичей сразу
анализ данных;выведи топ 5 самых коррелирующих признаков
анализ данных;сделай скрипичный график для зарплаты
анализ данных;сгруппируй данные по категориям и посчитай сумму
анализ данных;покажи распределение целевого класса
анализ данных;нарисуй график плотности распределения цены
анализ данных;сгруппируй по региону и посчитай количество клиентов
анализ данных;покажи график временного ряда
анализ данных;сделай heatmap корреляций
анализ данных;проверь типы данных во всех колонках
анализ данных;построй гистограмму распределения возраста клиентов
анализ данных;найди выбросы в колонке цена
анализ данных;покажи корреляцию между ценой и пробегом
анализ данных;сколько пустых ячеек в датасете
анализ данных;выведи описание для числовых фичей
анализ данных;Построй диаграмму связей чтобы показать социальные взаимодействия между пользователями внутри группы
анализ данных;сделай boxplot для зарплаты по отделам
анализ данных;посчитай среднее значение таргета
анализ данных;визуализируй матрицу ошибок
анализ данных;выведи статистику по столбцу доход
анализ данных;построй круговую диаграмму по полу
анализ данных и взаимодействие с графом;удали ненужные столбцы и подай на вход модели
анализ данных и взаимодействие с графом;выбери топ-10 признаков через rf и обучись
анализ данных и взаимодействие с графом;если корреляция больше 0.95 убери фичу и стартани
анализ данных и взаимодействие с графом;очисти данные от шума и нажми старт
анализ данных и взаимодействие с графом;прологарифмируй цену и запусти пайплайн
